,mean_7405f,min_7405f,max_7405f,mean_7078,min_7078,max_7078,mean_5599,min_5599,max_5599,mean_5351,min_5351,max_5351,mean_7289,min_7289,max_7289
42,0.0,0.0,0.0,222.88258130718714,222.88258130718714,222.88258130718714,0.0,0.0,0.0,0.0,0.0,0.0,236.06072543310745,236.06072543310745,236.06072543310745
43,0.0,0.0,0.0,962.8940398964044,962.8940398964044,962.8940398964044,0.0,0.0,0.0,504.1977049094794,504.1977049094794,504.1977049094794,235.1521115285451,235.1521115285451,235.1521115285451
44,0.0,0.0,0.0,1033.7178429994797,1033.7178429994797,1033.7178429994797,180.0526762509586,180.0526762509586,180.0526762509586,500.1346806200307,500.1346806200307,500.1346806200307,234.13222537003827,234.13222537003827,234.13222537003827
45,0.0,0.0,0.0,1045.7038978769228,1045.7038978769228,1045.7038978769228,179.62360734080994,179.62360734080994,179.62360734080994,499.8647256431087,499.8647256431087,499.8647256431087,232.7371096348721,232.7371096348721,232.7371096348721
46,0.0,0.0,0.0,1027.22466583583,1027.22466583583,1027.22466583583,179.17770140819735,179.17770140819735,179.17770140819735,499.382545462908,499.382545462908,499.382545462908,232.60768017509622,232.60768017509622,232.60768017509622
47,0.0,0.0,0.0,1034.6961176625805,1034.6961176625805,1034.6961176625805,178.70084740985914,178.70084740985914,178.70084740985914,498.64928380239894,498.64928380239894,498.64928380239894,232.55305052178318,232.55305052178318,232.55305052178318
48,0.0,0.0,0.0,1079.7426393376372,1079.7426393376372,1079.7426393376372,178.30899514948692,178.30899514948692,178.30899514948692,493.1062925735687,493.1062925735687,493.1062925735687,232.59300604567142,232.59300604567142,232.59300604567142
49,0.0,0.0,0.0,1186.3635062702351,1186.3635062702351,1186.3635062702351,0.0,0.0,0.0,484.3796153455863,484.3796153455863,484.3796153455863,232.46196900542716,232.46196900542716,232.46196900542716
50,0.0,0.0,0.0,1154.5431133238003,1154.5431133238003,1154.5431133238003,0.0,0.0,0.0,475.85753268458996,475.85753268458996,475.85753268458996,241.8840557480502,241.8840557480502,241.8840557480502
51,0.0,0.0,0.0,1141.260546282487,1141.260546282487,1141.260546282487,0.0,0.0,0.0,467.5348133245592,467.5348133245592,467.5348133245592,241.4601107046165,241.4601107046165,241.4601107046165
52,0.0,0.0,0.0,1133.3070759141733,1133.3070759141733,1133.3070759141733,0.0,0.0,0.0,459.40636203727377,459.40636203727377,459.40636203727377,241.37334029329213,241.37334029329213,241.37334029329213
53,0.0,0.0,0.0,1122.4366030308765,1122.4366030308765,1122.4366030308765,0.0,0.0,0.0,451.46721908995437,451.46721908995437,451.46721908995437,241.19940211515106,241.19940211515106,241.19940211515106
54,0.0,0.0,0.0,1107.360954269485,1107.360954269485,1107.360954269485,0.0,0.0,0.0,443.71255331282134,443.71255331282134,443.71255331282134,241.10640153438038,241.10640153438038,241.10640153438038
55,0.0,0.0,0.0,1107.079129063489,1107.079129063489,1107.079129063489,0.0,0.0,0.0,436.1376586252105,436.1376586252105,436.1376586252105,240.43591011247133,240.43591011247133,240.43591011247133
56,0.0,0.0,0.0,1114.596172610561,1114.596172610561,1114.596172610561,0.0,0.0,0.0,428.73795313541007,428.73795313541007,428.73795313541007,240.20510908893218,240.20510908893218,240.20510908893218
57,0.0,0.0,0.0,1127.3510228110902,1127.3510228110902,1127.3510228110902,0.0,0.0,0.0,421.508974536585,421.508974536585,421.508974536585,240.36987864330348,240.36987864330348,240.36987864330348
58,0.0,0.0,0.0,1147.1940407424709,1147.1940407424709,1147.1940407424709,178.19129119185754,178.19129119185754,178.19129119185754,414.5246223081165,414.5246223081165,414.5246223081165,236.9110102157392,236.9110102157392,236.9110102157392
59,0.0,0.0,0.0,1132.4585606764595,1132.4585606764595,1132.4585606764595,177.85426138016217,177.85426138016217,177.85426138016217,415.3041484861158,415.3041484861158,415.3041484861158,230.12734754827943,230.12734754827943,230.12734754827943
60,0.0,0.0,0.0,1126.8671886175896,1126.8671886175896,1126.8671886175896,177.61233212899742,177.61233212899742,177.61233212899742,417.74591302842634,417.74591302842634,417.74591302842634,229.99278300797155,229.99278300797155,229.99278300797155
61,0.0,0.0,0.0,1145.5507780169544,1145.5507780169544,1145.5507780169544,177.79459368259467,177.79459368259467,177.79459368259467,419.8751667336742,419.8751667336742,419.8751667336742,231.58051022510224,231.58051022510224,231.58051022510224
62,0.0,0.0,0.0,1126.0784536720896,1126.0784536720896,1126.0784536720896,177.98409815029083,177.98409815029083,177.98409815029083,421.9462522594746,421.9462522594746,421.9462522594746,230.32282115230214,230.32282115230214,230.32282115230214
63,0.0,0.0,0.0,1130.3175302132727,1130.3175302132727,1130.3175302132727,178.20248164301944,178.20248164301944,178.20248164301944,424.02377238362567,424.02377238362567,424.02377238362567,229.77345677855817,229.77345677855817,229.77345677855817
